date,cpu_usage,memory_usage
2025-07-25 11:45:54.932874,17.5,90.6
2025-07-25 11:45:59.941552,25.1,89.7
2025-07-25 11:46:04.947352,20.5,90.1
2025-07-25 11:46:09.950157,20.7,90.4
2025-07-25 11:46:14.962690,51.4,87.0
2025-07-25 11:46:19.968104,20.0,82.6
2025-07-25 11:46:24.972112,25.3,82.7
2025-07-25 11:46:29.980784,23.9,82.8
2025-07-25 11:46:34.985338,24.5,83.8
2025-07-25 11:46:39.989758,37.8,86.5
2025-07-25 11:46:45.001694,18.0,85.2
2025-07-25 11:46:50.005144,38.2,85.1
2025-07-25 11:46:55.012844,26.3,85.1
2025-07-25 11:47:00.019041,31.5,85.1
2025-07-25 11:47:05.025253,28.0,85.1
2025-07-25 11:47:10.032801,30.5,85.4
2025-07-25 11:47:15.039121,26.5,84.9
2025-07-25 11:47:20.045108,25.7,85.1
2025-07-25 11:47:25.049921,30.4,85.2
2025-07-25 11:47:30.055292,29.3,85.5
2025-07-25 11:47:35.061910,39.6,87.5
2025-07-25 11:47:40.075428,38.0,88.2
2025-07-25 11:47:45.082994,28.7,88.1
2025-07-25 11:47:50.085496,36.2,88.7
2025-07-25 11:47:55.111497,39.1,88.7
2025-07-25 11:48:00.116216,28.7,88.8
2025-07-25 11:48:05.122391,31.5,87.1
2025-07-25 11:58:24.072830,8.5,87.4
2025-07-25 11:58:29.077955,13.4,87.0
2025-07-25 11:58:34.090182,8.0,87.0
2025-07-25 11:58:39.098896,12.2,87.0
2025-07-25 11:58:44.106102,11.0,87.1
2025-07-25 11:58:49.110481,19.6,88.0
2025-07-25 11:58:54.119882,18.5,89.2
2025-07-25 11:58:59.130582,10.2,89.8
2025-07-25 11:59:04.139084,10.3,89.6
2025-07-25 11:59:09.146034,8.2,89.5
2025-07-25 11:59:14.156420,9.3,89.5
2025-07-25 11:59:19.162100,7.8,89.6
2025-07-25 11:59:24.166220,14.0,89.6
2025-07-25 11:59:29.175312,8.1,89.6
2025-07-25 11:59:34.189896,13.7,89.5
2025-07-25 11:59:39.196074,4.8,89.4
2025-07-25 11:59:44.208544,12.6,89.6
2025-07-25 11:59:49.216000,10.7,89.8
2025-07-25 11:59:54.228222,8.5,89.8
2025-07-25 11:59:59.233204,15.3,89.7
2025-07-25 12:00:04.239718,19.9,90.0
2025-07-25 12:00:09.247186,12.9,89.9
2025-07-25 12:00:14.253431,33.1,90.5
2025-07-25 12:00:19.265876,21.4,90.7
2025-07-25 12:00:24.271416,19.0,90.8
2025-07-25 12:00:29.285825,20.7,91.1
2025-07-25 12:00:34.286992,27.5,88.9
2025-07-25 12:00:39.295930,26.0,88.6
2025-07-25 12:00:44.305983,17.2,88.6
2025-07-25 12:00:49.307679,19.6,88.8
2025-07-25 12:00:54.317313,24.1,88.9
2025-07-25 12:00:59.324271,28.6,90.4
2025-07-25 12:01:04.335866,24.8,91.6
2025-07-25 12:01:09.346068,35.4,92.4
2025-07-25 12:01:14.357998,38.5,93.1
2025-07-25 12:01:19.368567,9.1,82.4
2025-07-25 12:01:24.376306,6.6,82.4
2025-07-25 12:01:29.378010,7.4,82.3
2025-07-25 12:01:34.393719,10.0,81.9
2025-07-25 12:01:39.401550,20.2,82.1
2025-07-25 12:01:44.410977,9.5,82.2
2025-07-25 12:01:49.420549,17.7,82.5
2025-07-25 12:01:54.425919,13.2,82.4
2025-07-25 12:01:59.435678,22.3,82.3
2025-07-25 12:02:04.439966,13.8,82.6
2025-07-25 12:02:09.446447,12.5,82.6
2025-07-25 12:02:14.460010,13.9,83.0
2025-07-25 12:02:19.466323,9.2,82.3
2025-07-25 12:02:24.469720,14.5,82.2
2025-07-25 12:02:29.476444,19.0,83.2
2025-07-25 12:02:34.486088,12.4,83.7
2025-07-25 12:02:39.493085,18.8,83.8
2025-07-25 12:02:44.496172,7.9,83.7
2025-07-25 12:02:49.506335,8.1,83.6
2025-07-25 12:02:54.519035,7.6,83.6
2025-07-25 12:02:59.528221,6.0,83.8
2025-07-25 12:03:04.530930,11.9,84.1
2025-07-25 12:03:09.537925,16.7,86.0
2025-07-25 12:03:14.550608,12.2,85.9
2025-07-25 12:03:19.560536,18.1,85.9
2025-07-25 12:05:36.262659,15.3,88.1
2025-07-25 12:05:41.272127,11.6,87.9
2025-07-25 12:05:46.279059,15.6,86.7
2025-07-25 12:05:51.288945,18.0,87.4
2025-07-25 12:05:56.299350,19.9,87.5
2025-07-25 12:06:01.308504,22.2,88.8
2025-07-25 12:06:06.318138,23.8,90.3
2025-07-25 12:06:11.327044,24.9,91.1
2025-07-25 12:06:16.339257,23.4,91.7
2025-07-25 12:06:21.346395,11.8,86.9
2025-07-25 12:06:26.353918,14.1,87.0
2025-07-25 12:06:31.360190,15.3,87.3
2025-07-25 12:06:36.371090,11.0,85.1
2025-07-25 12:06:41.376525,24.7,85.1
2025-07-25 12:06:46.386443,10.1,85.2
2025-07-25 12:06:51.393935,9.7,85.2
2025-07-25 12:06:56.397247,9.4,85.4
2025-07-25 12:07:01.408092,8.4,85.3
2025-07-25 12:07:06.425178,10.9,85.4
2025-07-25 12:07:11.439385,14.1,86.5
2025-07-25 12:07:16.445964,5.2,86.0
2025-07-25 12:07:21.450451,13.1,86.0
2025-07-25 12:07:26.456720,17.7,85.7
2025-07-25 12:07:31.470819,12.8,85.3
2025-07-25 12:07:36.478832,8.1,85.3
2025-07-25 12:07:41.486627,10.4,85.5
2025-07-25 12:07:46.496834,5.1,85.4
2025-07-25 12:07:51.508957,12.4,85.3
2025-07-25 12:07:56.517875,6.9,85.4
2025-07-25 12:08:01.528673,8.1,85.6
2025-07-25 12:08:06.536619,9.2,85.7
2025-07-25 12:08:11.546578,6.6,85.7
2025-07-25 12:08:16.554169,9.7,85.4
2025-07-25 12:08:21.563555,9.6,85.4
2025-07-25 12:08:26.567479,13.1,85.4
2025-07-25 12:08:31.578484,11.2,85.4
2025-07-25 12:08:36.587644,9.3,85.4
2025-07-25 12:08:41.596223,6.3,85.4
2025-07-25 12:08:46.603460,7.4,85.4
2025-07-25 12:08:51.614250,9.1,85.5
2025-07-25 12:08:56.625932,11.3,85.6
2025-07-25 12:09:01.632902,8.4,85.7
2025-07-25 12:09:06.639649,8.7,85.8
2025-07-25 12:09:11.651392,10.5,85.7
2025-07-25 12:09:16.660798,8.0,84.1
2025-07-25 12:09:21.666630,10.8,84.0
2025-07-25 12:09:26.674791,15.7,84.0
2025-07-25 12:09:31.686841,8.4,83.7
2025-07-25 12:09:36.696891,8.4,83.7
2025-07-25 12:09:41.700670,8.3,83.8
2025-07-25 12:09:46.713341,8.8,83.9
2025-07-25 12:09:51.719885,11.0,84.1
2025-07-25 12:09:56.730439,6.6,84.0
2025-07-25 12:10:01.737448,10.8,84.1
2025-07-25 12:10:06.745893,7.2,84.1
2025-07-25 12:10:11.753395,7.8,84.1
2025-07-25 12:10:16.764260,12.3,84.3
2025-07-25 12:10:21.781001,64.1,86.5
2025-07-25 12:10:26.786328,31.9,87.1
2025-07-25 12:10:31.790708,11.3,87.4
2025-07-25 12:14:05.746727,11.4,92.3
2025-07-25 12:14:10.754412,4.7,92.2
2025-07-25 12:14:15.759346,5.2,92.5
2025-07-25 12:14:20.765779,5.6,93.3
2025-07-25 12:14:25.773565,7.6,93.3
2025-07-25 12:14:30.780136,4.8,92.9
2025-07-25 12:14:35.786818,6.0,92.9
2025-07-25 12:14:40.793717,8.0,93.1
2025-07-25 12:14:45.801358,6.2,93.1
2025-07-25 12:14:50.806849,5.6,93.0
2025-07-25 12:14:55.813739,3.7,93.0
2025-07-25 12:15:00.819742,5.6,93.0
2025-07-25 12:15:05.826799,12.9,93.0
2025-07-25 12:15:10.833067,4.9,93.0
2025-07-25 12:15:15.840200,5.1,93.0
2025-07-25 12:15:20.845864,6.1,93.1
2025-07-25 12:15:25.852641,9.2,91.7
2025-07-25 12:15:30.860785,7.4,89.5
2025-07-25 12:15:35.867012,7.0,89.5
2025-07-25 12:15:40.873130,5.2,89.5
2025-07-25 12:15:45.880283,7.6,89.8
2025-07-25 12:15:50.886993,8.1,90.0
2025-07-25 12:15:55.895542,6.0,90.0
2025-07-25 12:16:00.900972,6.2,90.1
2025-07-25 12:16:05.907317,7.4,90.0
2025-07-25 12:16:10.915332,11.8,90.2
2025-07-25 12:16:15.922774,5.6,90.7
2025-07-25 12:16:20.929207,13.7,84.4
2025-07-25 12:16:25.937524,6.0,84.5
2025-07-25 12:16:30.944465,5.8,84.5
2025-07-25 12:16:35.951250,7.9,84.5
2025-07-25 12:16:40.958357,6.4,84.5
2025-07-25 12:16:45.965725,4.9,84.4
2025-07-25 12:16:50.972519,4.3,84.4
2025-07-25 12:16:55.980268,7.0,84.4
2025-07-25 12:17:00.985503,5.2,84.7
2025-07-25 12:17:05.992425,5.3,84.7
2025-07-25 12:17:11.000014,8.4,84.8
2025-07-25 12:17:16.007077,7.8,84.5
2025-07-25 12:17:21.012726,4.6,84.6
2025-07-25 12:17:26.017222,4.7,85.1
2025-07-25 12:17:31.024692,7.1,85.1
2025-07-25 12:17:36.031382,7.0,85.1
2025-07-25 12:17:41.037509,9.8,85.1
2025-07-25 12:17:46.044424,4.3,85.1
2025-07-25 12:17:51.051487,4.1,85.1
2025-07-25 12:17:56.057490,7.5,85.1
2025-07-25 12:18:01.064745,3.9,85.1
2025-07-25 12:18:06.072065,7.0,85.2
2025-07-25 12:18:11.077004,5.0,85.2
2025-07-25 12:18:16.080510,19.1,87.4
2025-07-25 12:18:21.088353,5.2,85.0
2025-07-25 12:18:26.099669,17.8,85.4
2025-07-25 12:18:31.107442,7.6,85.3
2025-07-25 12:18:36.113152,4.8,84.7
2025-07-25 12:18:41.120196,6.6,84.0
2025-07-25 12:18:46.127283,7.6,84.0
2025-07-25 12:18:51.133201,3.7,84.1
2025-07-25 12:18:56.141731,5.6,84.1
2025-07-25 12:19:01.147302,5.4,84.2
2025-07-25 12:23:32.672731,36.5,92.4
2025-07-25 12:23:34.679666,41.1,92.1
2025-07-25 12:23:36.690064,40.5,92.2
2025-07-25 12:23:38.703430,24.3,92.1
2025-07-25 12:23:40.711595,6.4,91.1
2025-07-25 12:23:42.719478,10.0,90.4
2025-07-25 12:23:44.726218,10.2,90.3
2025-07-25 12:23:46.734125,11.0,90.3
2025-07-25 12:23:48.740445,12.1,90.3
2025-07-25 12:23:50.747805,8.3,90.4
2025-07-25 12:23:52.756215,5.4,90.4
2025-07-25 12:23:54.763870,9.0,90.3
2025-07-25 12:23:56.771541,5.4,90.3
2025-07-25 12:23:58.780148,12.2,90.1
2025-07-25 12:24:00.787753,4.9,90.2
2025-07-25 12:24:02.796659,5.8,90.2
2025-07-25 12:24:04.803501,4.3,90.2
2025-07-25 12:24:06.812015,7.7,90.2
2025-07-25 12:24:08.820039,5.2,90.2
2025-07-25 12:24:10.829402,6.5,90.2
2025-07-25 12:24:12.837631,5.7,90.2
2025-07-25 12:24:14.845083,4.9,90.2
2025-07-25 12:24:16.852798,7.6,90.2
2025-07-25 12:24:18.861824,7.5,90.3
2025-07-25 12:24:20.868897,6.8,90.2
2025-07-25 12:24:22.877381,8.0,90.2
2025-07-25 12:24:24.884718,6.8,90.2
2025-07-25 12:24:26.893140,12.1,90.3
2025-07-25 12:24:28.901421,7.4,90.3
2025-07-25 12:24:30.909841,7.2,90.3
2025-07-25 12:24:32.917472,9.3,90.3
2025-07-25 12:24:34.926057,7.2,90.3
2025-07-25 12:24:36.934002,12.0,90.3
2025-07-25 12:24:38.943039,10.0,90.3
2025-07-25 12:24:40.951274,14.6,90.4
2025-07-25 12:24:42.960206,6.6,90.4
2025-07-25 12:24:44.968063,4.7,90.4
2025-07-25 12:24:46.976239,7.7,90.5
2025-07-25 12:24:48.982991,13.7,90.5
2025-07-25 12:24:50.991412,5.8,90.6
2025-07-25 12:24:53.000165,7.5,90.6
